Date,Close,High,Low,Open,Volume,Code
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
2023-12-18,3795.334228515625,3863.9791595431043,3766.764927610666,3794.25257642529,2521612,TCS.NS
2023-12-19,3753.045654296875,3791.302042217498,3727.2792861436023,3781.3690910876385,2004435,TCS.NS
2023-12-20,3717.493896484375,3834.2786994645307,3704.2173083561047,3763.912734364631,2586083,TCS.NS
2023-12-21,3724.82080078125,3743.70301266217,3681.401533559478,3694.0879558903152,1517562,TCS.NS
2023-12-22,3760.716796875,3782.303499297243,3699.7428320721106,3737.1139717900105,2413058,TCS.NS
2023-12-26,3732.737548828125,3770.551192343162,3727.4267692857443,3756.635456517975,1285231,TCS.NS
2023-12-27,3748.128173828125,3755.0123304068766,3705.643141247896,3736.1301203823664,1293976,TCS.NS
2023-12-28,3737.01513671875,3774.4847136315652,3729.344411454998,3760.7164004500014,1682889,TCS.NS
2023-12-29,3730.623291015625,3759.3402550951864,3703.086660331394,3729.2465555215595,1574996,TCS.NS
2024-01-01,3748.030029296875,3768.5840582088736,3710.5604518846767,3727.279118113682,825907,TCS.NS
2024-01-02,3720.591796875,3748.0302239952007,3704.905801353602,3748.0302239952007,1344068,TCS.NS
2024-01-03,3630.655517578125,3709.4300449741327,3626.0333455311243,3704.6602112052,1803075,TCS.NS
2024-01-04,3606.1181640625,3657.4542580892885,3590.5795902887853,3640.4897283898963,3598144,TCS.NS
2024-01-05,3676.041259765625,3685.7283477944916,3614.0348686083644,3614.1822902127296,1963127,TCS.NS
2024-01-08,3617.427734375,3677.8607481841777,3611.62522961842,3676.0412678578914,1067805,TCS.NS
2024-01-09,3628.836181640625,3690.252895995553,3621.804602192164,3648.5544245623223,1370944,TCS.NS
2024-01-10,3651.602783203125,3667.534641381456,3626.967287635532,3628.9341896353344,1292227,TCS.NS
2024-01-11,3673.73046875,3710.560661057684,3645.6528943919516,3662.3715615634283,1777909,TCS.NS
